,lane,tile,cycle,errorrate,nPerfect,n1Error,n2Error,n3Error,n4Error
384,1,2216,6,0.076680586,11661,76,0,0,0
385,1,1101,7,0.06666667,10421,79,0,0,0
386,1,1102,7,0.048581421,10218,74,0,0,0
387,1,1103,7,0.116132781,10247,86,0,0,0
388,1,1104,7,0.009310987,10654,86,0,0,0
389,1,1105,7,0.075180903,10558,83,0,0,0
390,1,1106,7,0.092867754,10681,87,0,0,0
391,1,1107,7,0.075046904,10583,77,0,0,0
392,1,1108,7,0.06377551,10884,93,0,0,0
393,1,1109,7,0.037126414,10702,72,0,0,0
394,1,1110,7,0.036917396,10749,86,0,0,0
395,1,1111,7,0.063068748,11023,76,0,0,0
396,1,1112,7,0.101691782,10716,101,0,0,0
397,1,1113,7,0.065463386,10602,91,0,0,0
398,1,1114,7,0.047760054,10384,86,0,0,0
399,1,1115,7,0.047063254,10534,91,0,0,0
400,1,1116,7,0.056200825,10601,77,0,0,0
401,1,1201,7,0.057219148,10418,68,0,0,0
402,1,1202,7,0.066394761,10451,92,0,0,0
403,1,1203,7,0.047032263,10553,79,0,0,0
404,1,1204,7,0.075607218,10492,89,0,0,0
405,1,1205,7,0.028147871,10579,79,0,0,0
406,1,1206,7,0.056662574,10340,250,0,0,0
407,1,1207,7,0.07334739,10809,99,0,0,0
408,1,1208,7,0.063991226,10859,80,0,0,0
409,1,1209,7,0.027282648,10908,89,0,0,0
410,1,1210,7,0.064995356,10698,74,0,0,0
411,1,1211,7,0.054283906,10966,87,0,0,0
412,1,1212,7,0.064700991,10725,95,0,0,0
413,1,1213,7,0.028139949,10566,97,0,0,0
414,1,1214,7,0.027713627,10725,101,0,0,0
415,1,1215,7,0.147126436,10773,102,0,0,0
416,1,1216,7,0.03550506,11178,88,0,0,0
417,1,2101,7,0.056855869,10475,79,0,0,0
418,1,2102,7,0.046750817,10615,80,0,0,0
419,1,2103,7,0.064724922,10729,87,0,0,0
420,1,2104,7,0.046057481,10783,73,0,0,0
421,1,2105,7,0.084721833,10551,72,0,0,0
422,1,2106,7,0.046176579,10721,109,0,0,0
423,1,2107,7,0.053739365,11085,80,0,0,0
424,1,2108,7,0.045024764,11033,72,0,0,0
425,1,2109,7,0.080142476,11139,91,0,0,0
426,1,2110,7,0.05420544,10971,98,0,0,0
427,1,2111,7,0.071486019,11113,80,0,0,0
428,1,2112,7,0.053845465,11036,108,0,0,0
429,1,2113,7,0.080782697,11034,109,0,0,0
430,1,2114,7,0.098179221,11100,104,0,0,0
431,1,2115,7,0.125978589,11011,104,0,0,0
432,1,2116,7,0.070064813,11316,102,0,0,0
433,1,2201,7,0.018705575,10618,74,0,0,0
434,1,2202,7,0.05574654,10689,74,0,0,0
435,1,2203,7,0.083705358,10663,90,0,0,0
436,1,2204,7,0.045749839,10836,94,0,0,0
437,1,2205,7,0.08230453,10852,85,0,0,0
438,1,2206,7,0.080703013,10790,362,0,0,0
439,1,2207,7,0.044408917,11181,78,0,0,0
440,1,2208,7,0.078747049,11337,93,0,0,0
441,1,2209,7,0.026640618,11183,79,0,0,0
442,1,2210,7,0.026375946,11280,96,0,0,0
443,1,2211,7,0.044984255,11034,81,0,0,0
444,1,2212,7,0.043410316,11425,94,0,0,0
445,1,2213,7,0.052970778,11220,107,0,0,0
446,1,2214,7,0.139713585,11330,124,0,0,0
447,1,2215,7,0.078892007,11293,115,0,0,0
448,1,2216,7,0.119280905,11647,90,0,0,0
449,1,1101,8,0.028571429,10418,82,0,0,0
450,1,1102,8,0.097162843,10208,84,0,0,0
451,1,1103,8,0.096777312,10237,96,0,0,0
